method;none;aspect ratio;resize;generic crop;center crop;vflip;hflip;overlay emoji;rotation;re-watermark;sharpen;random noise;blur;jpeg;contrast;brightness;hue;geometric;geometric (rank);photometric;photometric (rank);all;all (rank)
ssl watermarking; 100.00; 94.19; 94.88; 93.31; 85.05; 69.77; 100.00; 98.45; 86.05; 87.21; 46.51;  0.00; 70.93; 63.79; 72.09; 87.79; 64.53; 91.05; a; 79.91;  ; 84.32; b
blind watermarking; 100.00;  1.16;  0.00; 15.99;  0.66;  6.98;  0.00; 100.00;  0.00; 93.31; 58.14;  0.00; 85.47; 85.71; 50.00; 31.40; 75.00;  6.86;  ; 81.09; c; 51.69;  
trustmark watermarking; 100.00; 90.31; 100.00; 24.42; 28.57;  0.00; 100.00; 99.13; 24.42; 83.43; 99.42;  9.30; 100.00; 84.05; 70.93; 84.30;  0.00; 45.76;  ; 83.15; b; 68.34;  
dwtDct watermarking; 67.44;  0.00;  0.00;  7.99;  0.00;  2.33;  0.00; 70.64;  0.00; 55.52; 18.02;  0.00;  1.16;  3.99; 21.51; 23.84;  6.98;  3.26;  ; 40.22;  ; 25.58;  
dwtDctSvd watermarking; 100.00;  0.78;  0.00; 15.26;  0.33;  2.33;  0.00; 99.81;  0.00; 52.03; 52.33;  1.16; 26.16; 57.14; 26.16; 27.91;  0.00;  6.34;  ; 61.38;  ; 39.58;  
rivaGan watermarking; 100.00; 98.84; 92.56; 99.71; 99.67;  0.00;  0.00; 99.61; 44.77; 99.71; 96.51; 47.67; 76.16; 78.07; 87.79; 93.60;  0.00; 88.20; b; 86.01; a; 86.88; a
stegastamp watermarking; 48.84; 12.79; 30.23;  3.05; 53.16;  0.00;  0.00; 25.39; 12.21; 43.02; 30.81; 19.77; 69.77; 50.50; 38.95; 49.42; 48.26; 17.44;  ; 37.63;  ; 29.63;  
arwgan watermarking; 100.00; 87.98; 100.00; 100.00; 100.00;  0.00;  0.00; 100.00; 25.00; 73.26; 93.60;  0.00; 19.77;  7.64; 76.74; 92.44;  0.00; 85.70; c; 68.36;  ; 75.22; c
ssl + rivaGan watermarking; 100.00; 98.84; 93.95; 99.71; 99.67;  6.98; 88.37; 99.52; 48.26; 99.42; 96.51; 44.19; 76.74; 78.41; 87.79; 94.19; 14.53; 91.10;  ; 86.89;  ; 88.56;  
ssl + arwgan watermarking; 100.00; 95.35; 100.00; 100.00; 100.00; 37.21; 100.00; 100.00; 67.44; 100.00; 100.00;  0.00; 69.77; 58.80; 84.30; 96.51; 42.44; 94.48;cc; 84.98;  ; 88.74;  
blind + rivaGan watermarking; 100.00; 99.22; 92.56; 99.71; 99.67;  4.65;  0.00; 100.00; 44.77; 100.00; 94.19; 44.19; 84.30; 85.71; 90.12; 93.02; 61.63; 88.37;  ; 91.50;bb; 90.26;  
trustmark + ssl watermarking; 100.00; 98.84; 100.00; 92.15; 83.06; 74.42; 100.00; 99.42; 91.86; 98.84; 95.93;  2.33; 98.84; 82.06; 72.09; 86.63; 70.93; 92.27;  ; 89.40;  ; 90.54;cc
rivaGan + ssl watermarking; 100.00; 99.22; 98.14; 99.85; 99.67; 83.72; 100.00; 100.00; 84.30; 100.00; 96.51; 38.37; 82.56; 78.74; 89.53; 96.51; 63.95; 97.56;aa; 90.89;  ; 93.53;aa
rivaGan + blind watermarking; 100.00; 98.84; 89.30; 99.42; 99.67; 11.63;  0.00; 100.00; 44.77; 100.00; 98.84; 48.84; 86.05; 86.05; 90.12; 93.02; 76.74; 87.97;  ; 93.10;aa; 91.07;bb
rivaGan + stegastamp watermarking; 100.00; 98.45; 86.05; 98.55; 98.01;  0.00;  0.00; 98.74; 41.28; 99.71; 95.35; 40.70; 81.98; 86.71; 83.72; 94.19; 45.35; 86.22;  ; 89.48;  ; 88.19;  
stegastamp + ssl watermarking; 100.00; 95.35; 97.21; 91.57; 91.69; 60.47; 100.00; 97.58; 83.72; 92.15; 51.16; 18.60; 83.14; 77.74; 79.07; 90.12; 76.16; 91.51;  ; 84.90;  ; 87.52;  
stegastamp + trustmark watermarking; 100.00; 90.31; 100.00; 23.98; 66.78;  0.00; 100.00; 99.42; 25.00; 91.86; 99.42; 27.91; 100.00; 90.70; 81.98; 91.86; 47.09; 52.33;  ; 90.05;  ; 75.11;  
stegastamp + rivaGan watermarking; 100.00; 99.22; 93.49; 99.85; 100.00;  0.00;  0.00; 99.71; 44.77; 100.00; 97.09; 52.33; 84.30; 89.70; 87.79; 96.51; 45.93; 88.49;  ; 91.35;cc; 90.21;  
arwgan + ssl watermarking; 100.00; 95.74; 99.07; 99.42; 99.67; 65.12; 100.00; 99.32; 87.79; 96.51; 63.95;  0.00; 71.51; 62.46; 75.00; 92.44; 65.70; 96.86;bb; 83.07;  ; 88.53;  
